,state,action,reward,next_state,done
0,"[168.51026917 168.39070129 170.11445618 172.12718201 172.60543823
 170.51303101]",2,-20.944072265625,"[168.39070129 170.11445618 172.12718201 172.60543823 170.51303101
 172.37628174]",False
1,"[168.39070129 170.11445618 172.12718201 172.60543823 170.51303101
 172.37628174]",1,16.759256591796873,"[170.11445618 172.12718201 172.60543823 170.51303101 172.37628174
 171.99765015]",False
2,"[170.11445618 172.12718201 172.60543823 170.51303101 172.37628174
 171.99765015]",1,-3.407684326171875,"[172.12718201 172.60543823 170.51303101 172.37628174 171.99765015
 173.09367371]",False
3,"[172.12718201 172.60543823 170.51303101 172.37628174 171.99765015
 173.09367371]",0,9.854212036132813,"[172.60543823 170.51303101 172.37628174 171.99765015 173.09367371
 175.44519043]",False
4,"[172.60543823 170.51303101 172.37628174 171.99765015 173.09367371
 175.44519043]",0,23.515167236328125,"[170.51303101 172.37628174 171.99765015 173.09367371 175.44519043
 178.02583313]",False
5,"[170.51303101 172.37628174 171.99765015 173.09367371 175.44519043
 178.02583313]",0,28.387069702148438,"[172.37628174 171.99765015 173.09367371 175.44519043 178.02583313
 170.75213623]",False
6,"[172.37628174 171.99765015 173.09367371 175.44519043 178.02583313
 170.75213623]",0,-87.28436279296875,"[171.99765015 173.09367371 175.44519043 178.02583313 170.75213623
 171.65885925]",False
7,"[171.99765015 173.09367371 175.44519043 178.02583313 170.75213623
 171.65885925]",0,11.787399291992188,"[173.09367371 175.44519043 178.02583313 170.75213623 171.65885925
 170.23403931]",False
8,"[173.09367371 175.44519043 178.02583313 170.75213623 171.65885925
 170.23403931]",0,-19.947479248046875,"[175.44519043 178.02583313 170.75213623 171.65885925 170.23403931
 169.09814453]",False
9,"[175.44519043 178.02583313 170.75213623 171.65885925 170.23403931
 169.09814453]",1,-17.048421630859377,"[178.02583313 170.75213623 171.65885925 170.23403931 169.09814453
 172.68515015]",False
10,"[178.02583313 170.75213623 171.65885925 170.23403931 169.09814453
 172.68515015]",0,53.79508422851563,"[170.75213623 171.65885925 170.23403931 169.09814453 172.68515015
 170.86174011]",False
11,"[170.75213623 171.65885925 170.23403931 169.09814453 172.68515015
 170.86174011]",0,-29.174560546875,"[171.65885925 170.23403931 169.09814453 172.68515015 170.86174011
 169.41699219]",False
12,"[171.65885925 170.23403931 169.09814453 172.68515015 170.86174011
 169.41699219]",1,-24.57071472167969,"[170.23403931 169.09814453 172.68515015 170.86174011 169.41699219
 168.23126221]",False
13,"[170.23403931 169.09814453 172.68515015 170.86174011 169.41699219
 168.23126221]",0,-20.16740966796875,"[169.09814453 172.68515015 170.86174011 169.41699219 168.23126221
 169.0383606 ]",False
14,"[169.09814453 172.68515015 170.86174011 169.41699219 168.23126221
 169.0383606 ]",0,14.52777099609375,"[172.68515015 170.86174011 169.41699219 168.23126221 169.0383606
 168.21136475]",False
15,"[172.68515015 170.86174011 169.41699219 168.23126221 169.0383606
 168.21136475]",0,-15.712921142578125,"[170.86174011 169.41699219 168.23126221 169.0383606  168.21136475
 168.96861267]",False
16,"[170.86174011 169.41699219 168.23126221 169.0383606  168.21136475
 168.96861267]",0,15.14495849609375,"[169.41699219 168.23126221 169.0383606  168.21136475 168.96861267
 167.84268188]",False
17,"[169.41699219 168.23126221 169.0383606  168.21136475 168.96861267
 167.84268188]",1,-23.654546508789064,"[168.23126221 169.0383606  168.21136475 168.96861267 167.84268188
 169.05827332]",False
18,"[168.23126221 169.0383606  168.21136475 168.96861267 167.84268188
 169.05827332]",0,25.51742004394531,"[169.0383606  168.21136475 168.96861267 167.84268188 169.05827332
 167.17507935]",False
19,"[169.0383606  168.21136475 168.96861267 167.84268188 169.05827332
 167.17507935]",2,-41.45026733398438,"[168.21136475 168.96861267 167.84268188 169.05827332 167.17507935
 174.40892029]",False
