,state,action,reward,next_state,done
0,"[173.50999451 176.82000732 175.3500061  171.96000671 175.38999939
 176.55999756]",0,11.699981689453125,"[176.82000732 175.3500061  171.96000671 175.38999939 176.55999756
 178.75      ]",False
1,"[176.82000732 175.3500061  171.96000671 175.38999939 176.55999756
 178.75      ]",2,24.07002685546875,"[175.3500061  171.96000671 175.38999939 176.55999756 178.75
 174.41999817]",False
2,"[175.3500061  171.96000671 175.38999939 176.55999756 178.75
 174.41999817]",0,-43.32001831054688,"[171.96000671 175.38999939 176.55999756 178.75       174.41999817
 174.47999573]",False
3,"[171.96000671 175.38999939 176.55999756 178.75       174.41999817
 174.47999573]",0,0.65997314453125,"[175.38999939 176.55999756 178.75       174.41999817 174.47999573
 175.8999939 ]",False
4,"[175.38999939 176.55999756 178.75       174.41999817 174.47999573
 175.8999939 ]",0,17.03997802734375,"[176.55999756 178.75       174.41999817 174.47999573 175.8999939
 178.1499939 ]",False
5,"[176.55999756 178.75       174.41999817 174.47999573 175.8999939
 178.1499939 ]",0,29.25,"[178.75       174.41999817 174.47999573 175.8999939  178.1499939
 178.1499939 ]",False
6,"[178.75       174.41999817 174.47999573 175.8999939  178.1499939
 178.1499939 ]",2,-0.02,"[174.41999817 174.47999573 175.8999939  178.1499939  178.1499939
 178.86999512]",False
7,"[174.41999817 174.47999573 175.8999939  178.1499939  178.1499939
 178.86999512]",0,9.340015869140625,"[174.47999573 175.8999939  178.1499939  178.1499939  178.86999512
 179.71000671]",False
8,"[174.47999573 175.8999939  178.1499939  178.1499939  178.86999512
 179.71000671]",0,11.760162353515625,"[175.8999939  178.1499939  178.1499939  178.86999512 179.71000671
 178.30000305]",False
9,"[175.8999939  178.1499939  178.1499939  178.86999512 179.71000671
 178.30000305]",0,-21.150054931640625,"[178.1499939  178.1499939  178.86999512 179.71000671 178.30000305
 179.83000183]",False
10,"[178.1499939  178.1499939  178.86999512 179.71000671 178.30000305
 179.83000183]",0,24.47998046875,"[178.1499939  178.86999512 179.71000671 178.30000305 179.83000183
 180.38000488]",False
11,"[178.1499939  178.86999512 179.71000671 178.30000305 179.83000183
 180.38000488]",2,9.330051879882813,"[178.86999512 179.71000671 178.30000305 179.83000183 180.38000488
 180.97000122]",False
12,"[178.86999512 179.71000671 178.30000305 179.83000183 180.38000488
 180.97000122]",0,9.41994140625,"[179.71000671 178.30000305 179.83000183 180.38000488 180.97000122
 180.69000244]",False
13,"[179.71000671 178.30000305 179.83000183 180.38000488 180.97000122
 180.69000244]",2,-4.779979248046875,"[178.30000305 179.83000183 180.38000488 180.97000122 180.69000244
 182.41000366]",False
14,"[178.30000305 179.83000183 180.38000488 180.97000122 180.69000244
 182.41000366]",2,27.52001953125,"[179.83000183 180.38000488 180.97000122 180.69000244 182.41000366
 180.        ]",False
15,"[179.83000183 180.38000488 180.97000122 180.69000244 182.41000366
 180.        ]",0,-36.17005493164063,"[180.38000488 180.97000122 180.69000244 182.41000366 180.
 185.07000732]",False
16,"[180.38000488 180.97000122 180.69000244 182.41000366 180.
 185.07000732]",2,81.1001171875,"[180.97000122 180.69000244 182.41000366 180.         185.07000732
 185.19000244]",False
17,"[180.97000122 180.69000244 182.41000366 180.         185.07000732
 185.19000244]",2,1.7999267578125,"[180.69000244 182.41000366 180.         185.07000732 185.19000244
 185.66999817]",False
18,"[180.69000244 182.41000366 180.         185.07000732 185.19000244
 185.66999817]",2,6.719940185546875,"[182.41000366 180.         185.07000732 185.19000244 185.66999817
 185.94999695]",False
19,"[182.41000366 180.         185.07000732 185.19000244 185.66999817
 185.94999695]",1,3.629984130859375,"[180.         185.07000732 185.19000244 185.66999817 185.94999695
 189.05000305]",False
20,"[180.         185.07000732 185.19000244 185.66999817 185.94999695
 189.05000305]",2,40.29007934570313,"[185.07000732 185.19000244 185.66999817 185.94999695 189.05000305
 186.13000488]",False
21,"[185.07000732 185.19000244 185.66999817 185.94999695 189.05000305
 186.13000488]",0,-35.05997802734375,"[185.19000244 185.66999817 185.94999695 189.05000305 186.13000488
 183.61999512]",False
22,"[185.19000244 185.66999817 185.94999695 189.05000305 186.13000488
 183.61999512]",0,-32.630126953125,"[185.66999817 185.94999695 189.05000305 186.13000488 183.61999512
 183.32000732]",False
23,"[185.66999817 185.94999695 189.05000305 186.13000488 183.61999512
 183.32000732]",0,-4.1998291015625,"[185.94999695 189.05000305 186.13000488 183.61999512 183.32000732
 181.27999878]",False
24,"[185.94999695 189.05000305 186.13000488 183.61999512 183.32000732
 181.27999878]",0,-30.600128173828125,"[189.05000305 186.13000488 183.61999512 183.32000732 181.27999878
 179.22000122]",False
25,"[189.05000305 186.13000488 183.61999512 183.32000732 181.27999878
 179.22000122]",2,-32.9799609375,"[186.13000488 183.61999512 183.32000732 181.27999878 179.22000122
 174.63000488]",False
26,"[186.13000488 183.61999512 183.32000732 181.27999878 179.22000122
 174.63000488]",0,-68.86994506835937,"[183.61999512 183.32000732 181.27999878 179.22000122 174.63000488
 177.22999573]",False
27,"[183.61999512 183.32000732 181.27999878 179.22000122 174.63000488
 177.22999573]",1,41.589853515625,"[183.32000732 181.27999878 179.22000122 174.63000488 177.22999573
 179.53999329]",False
28,"[183.32000732 181.27999878 179.22000122 174.63000488 177.22999573
 179.53999329]",0,36.9499609375,"[181.27999878 179.22000122 174.63000488 177.22999573 179.53999329
 176.58999634]",False
