,state,action,reward,next_state,done
0,"[403.95999146 402.39001465 403.1499939  404.76000977 404.98001099
 408.13000488]",1,12.5899755859375,"[402.39001465 403.1499939  404.76000977 404.98001099 408.13000488
 406.73001099]",False
1,"[402.39001465 403.1499939  404.76000977 404.98001099 408.13000488
 406.73001099]",2,-5.6099755859375,"[403.1499939  404.76000977 404.98001099 408.13000488 406.73001099
 408.13000488]",False
2,"[403.1499939  404.76000977 404.98001099 408.13000488 406.73001099
 408.13000488]",1,4.189981689453125,"[404.76000977 404.98001099 408.13000488 406.73001099 408.13000488
 408.41000366]",False
3,"[404.76000977 404.98001099 408.13000488 406.73001099 408.13000488
 408.41000366]",1,0.839996337890625,"[404.98001099 408.13000488 406.73001099 408.13000488 408.41000366
 411.76000977]",False
4,"[404.98001099 408.13000488 406.73001099 408.13000488 408.41000366
 411.76000977]",1,10.050018310546875,"[408.13000488 406.73001099 408.13000488 408.41000366 411.76000977
 416.10998535]",False
5,"[408.13000488 406.73001099 408.13000488 408.41000366 411.76000977
 416.10998535]",1,13.0499267578125,"[406.73001099 408.13000488 408.41000366 411.76000977 416.10998535
 413.77999878]",False
6,"[406.73001099 408.13000488 408.41000366 411.76000977 416.10998535
 413.77999878]",1,-6.989959716796875,"[408.13000488 408.41000366 411.76000977 416.10998535 413.77999878
 411.6000061 ]",False
7,"[408.13000488 408.41000366 411.76000977 416.10998535 413.77999878
 411.6000061 ]",1,-6.53997802734375,"[408.41000366 411.76000977 416.10998535 413.77999878 411.6000061
 409.92001343]",False
8,"[408.41000366 411.76000977 416.10998535 413.77999878 411.6000061
 409.92001343]",1,-5.03997802734375,"[411.76000977 416.10998535 413.77999878 411.6000061  409.92001343
 411.57000732]",False
9,"[411.76000977 416.10998535 413.77999878 411.6000061  409.92001343
 411.57000732]",1,4.949981689453125,"[416.10998535 413.77999878 411.6000061  409.92001343 411.57000732
 416.92999268]",False
10,"[416.10998535 413.77999878 411.6000061  409.92001343 411.57000732
 416.92999268]",1,16.0799560546875,"[413.77999878 411.6000061  409.92001343 411.57000732 416.92999268
 420.51998901]",False
11,"[413.77999878 411.6000061  409.92001343 411.57000732 416.92999268
 420.51998901]",1,10.769989013671875,"[411.6000061  409.92001343 411.57000732 416.92999268 420.51998901
 420.20001221]",False
12,"[411.6000061  409.92001343 411.57000732 416.92999268 420.51998901
 420.20001221]",0,-0.969930419921875,"[409.92001343 411.57000732 416.92999268 420.51998901 420.20001221
 418.92001343]",False
13,"[409.92001343 411.57000732 416.92999268 420.51998901 420.20001221
 418.92001343]",2,-5.1399951171875,"[411.57000732 416.92999268 420.51998901 420.20001221 418.92001343
 420.23999023]",False
14,"[411.57000732 416.92999268 420.51998901 420.20001221 418.92001343
 420.23999023]",2,3.959930419921875,"[416.92999268 420.51998901 420.20001221 418.92001343 420.23999023
 415.32000732]",False
15,"[416.92999268 420.51998901 420.20001221 418.92001343 420.23999023
 415.32000732]",2,-9.8399658203125,"[420.51998901 420.20001221 418.92001343 420.23999023 415.32000732
 418.61999512]",False
16,"[420.51998901 420.20001221 418.92001343 420.23999023 415.32000732
 418.61999512]",0,3.27998779296875,"[420.20001221 418.92001343 420.23999023 415.32000732 418.61999512
 415.97000122]",False
17,"[420.20001221 418.92001343 420.23999023 415.32000732 418.61999512
 415.97000122]",1,-5.30998779296875,"[418.92001343 420.23999023 415.32000732 418.61999512 415.97000122
 414.69000244]",False
18,"[418.92001343 420.23999023 415.32000732 418.61999512 415.97000122
 414.69000244]",1,-2.55999755859375,"[420.23999023 415.32000732 418.61999512 415.97000122 414.69000244
 409.10998535]",False
19,"[420.23999023 415.32000732 418.61999512 415.97000122 414.69000244
 409.10998535]",1,-11.1600341796875,"[415.32000732 418.61999512 415.97000122 414.69000244 409.10998535
 407.60998535]",False
20,"[415.32000732 418.61999512 415.97000122 414.69000244 409.10998535
 407.60998535]",2,-3.01,"[418.61999512 415.97000122 414.69000244 409.10998535 407.60998535
 403.26000977]",False
21,"[418.61999512 415.97000122 414.69000244 409.10998535 407.60998535
 403.26000977]",1,-4.3599755859375,"[415.97000122 414.69000244 409.10998535 407.60998535 403.26000977
 400.26000977]",False
22,"[415.97000122 414.69000244 409.10998535 407.60998535 403.26000977
 400.26000977]",0,-3.01,"[414.69000244 409.10998535 407.60998535 403.26000977 400.26000977
 396.92001343]",False
23,"[414.69000244 409.10998535 407.60998535 403.26000977 400.26000977
 396.92001343]",1,-6.68999267578125,"[409.10998535 407.60998535 403.26000977 400.26000977 396.92001343
 397.73999023]",False
24,"[409.10998535 407.60998535 403.26000977 400.26000977 396.92001343
 397.73999023]",0,1.62995361328125,"[407.60998535 403.26000977 400.26000977 396.92001343 397.73999023
 399.89001465]",False
