,state,action,reward,next_state,done
0,"[132.08540344 134.7558136  135.80203247 138.44258118 139.12011719
 140.26602173]",1,1.135904541015625,"[134.7558136  135.80203247 138.44258118 139.12011719 140.26602173
 143.82321167]",False
1,"[134.7558136  135.80203247 138.44258118 139.12011719 140.26602173
 143.82321167]",2,3.54718994140625,"[135.80203247 138.44258118 139.12011719 140.26602173 143.82321167
 141.66099548]",False
2,"[135.80203247 138.44258118 139.12011719 140.26602173 143.82321167
 141.66099548]",2,0.0,"[138.44258118 139.12011719 140.26602173 143.82321167 141.66099548
 147.94841003]",False
3,"[138.44258118 139.12011719 140.26602173 143.82321167 141.66099548
 147.94841003]",2,0.0,"[139.12011719 140.26602173 143.82321167 141.66099548 147.94841003
 147.39042664]",False
4,"[139.12011719 140.26602173 143.82321167 141.66099548 147.94841003
 147.39042664]",2,0.0,"[140.26602173 143.82321167 141.66099548 147.94841003 147.39042664
 149.144104  ]",False
5,"[140.26602173 143.82321167 141.66099548 147.94841003 147.39042664
 149.144104  ]",2,0.0,"[143.82321167 141.66099548 147.94841003 147.39042664 149.144104
 148.20748901]",False
6,"[143.82321167 141.66099548 147.94841003 147.39042664 149.144104
 148.20748901]",2,0.0,"[141.66099548 147.94841003 147.39042664 149.144104   148.20748901
 151.22663879]",False
7,"[141.66099548 147.94841003 147.39042664 149.144104   148.20748901
 151.22663879]",2,0.0,"[147.94841003 147.39042664 149.144104   148.20748901 151.22663879
 150.60884094]",False
8,"[147.94841003 147.39042664 149.144104   148.20748901 151.22663879
 150.60884094]",0,-0.02,"[147.39042664 149.144104   148.20748901 151.22663879 150.60884094
 151.15687561]",False
9,"[147.39042664 149.144104   148.20748901 151.22663879 150.60884094
 151.15687561]",0,0.54803466796875,"[149.144104   148.20748901 151.22663879 150.60884094 151.15687561
 151.39601135]",False
10,"[149.144104   148.20748901 151.22663879 150.60884094 151.15687561
 151.39601135]",1,0.468271484375,"[148.20748901 151.22663879 150.60884094 151.15687561 151.39601135
 151.71487427]",False
11,"[148.20748901 151.22663879 150.60884094 151.15687561 151.39601135
 151.71487427]",0,0.627725830078125,"[151.22663879 150.60884094 151.15687561 151.39601135 151.71487427
 155.93968201]",False
