,state,action,reward,next_state,done
0,"[130.92536926 133.8946228  134.92089844 137.17274475 137.99972534
 139.2850647 ]",0,6.40669677734375,"[133.8946228  134.92089844 137.17274475 137.99972534 139.2850647
 142.58312988]",False
1,"[133.8946228  134.92089844 137.17274475 137.99972534 139.2850647
 142.58312988]",0,19.78839111328125,"[134.92089844 137.17274475 137.99972534 139.2850647  142.58312988
 140.67004395]",False
2,"[134.92089844 137.17274475 137.99972534 139.2850647  142.58312988
 140.67004395]",0,-13.3916015625,"[137.17274475 137.99972534 139.2850647  142.58312988 140.67004395
 147.14657593]",False
3,"[137.17274475 137.99972534 139.2850647  142.58312988 140.67004395
 147.14657593]",0,51.812255859375,"[137.99972534 139.2850647  142.58312988 140.67004395 147.14657593
 146.49891663]",False
4,"[137.99972534 139.2850647  142.58312988 140.67004395 147.14657593
 146.49891663]",1,-5.838933715820312,"[139.2850647  142.58312988 140.67004395 147.14657593 146.49891663
 148.20275879]",False
5,"[139.2850647  142.58312988 140.67004395 147.14657593 146.49891663
 148.20275879]",0,15.324579467773438,"[142.58312988 140.67004395 147.14657593 146.49891663 148.20275879
 147.06687927]",False
6,"[142.58312988 140.67004395 147.14657593 146.49891663 148.20275879
 147.06687927]",1,-11.368795166015625,"[140.67004395 147.14657593 146.49891663 148.20275879 147.06687927
 150.22543335]",False
7,"[140.67004395 147.14657593 146.49891663 148.20275879 147.06687927
 150.22543335]",2,31.575540771484373,"[147.14657593 146.49891663 148.20275879 147.06687927 150.22543335
 149.5279541 ]",False
8,"[147.14657593 146.49891663 148.20275879 147.06687927 150.22543335
 149.5279541 ]",0,-6.297313232421875,"[146.49891663 148.20275879 147.06687927 150.22543335 149.5279541
 150.1257782 ]",False
9,"[146.49891663 148.20275879 147.06687927 150.22543335 149.5279541
 150.1257782 ]",2,5.958240966796875,"[148.20275879 147.06687927 150.22543335 149.5279541  150.1257782
 150.32504272]",False
10,"[148.20275879 147.06687927 150.22543335 149.5279541  150.1257782
 150.32504272]",2,1.7933807373046875,"[147.06687927 150.22543335 149.5279541  150.1257782  150.32504272
 150.38484192]",False
11,"[147.06687927 150.22543335 149.5279541  150.1257782  150.32504272
 150.38484192]",0,0.4583935546875,"[150.22543335 149.5279541  150.1257782  150.32504272 150.38484192
 154.9283905 ]",False
12,"[150.22543335 149.5279541  150.1257782  150.32504272 150.38484192
 154.9283905 ]",0,40.891937255859375,"[149.5279541  150.1257782  150.32504272 150.38484192 154.9283905
 154.00172424]",False
13,"[149.5279541  150.1257782  150.32504272 150.38484192 154.9283905
 154.00172424]",0,-9.26666259765625,"[150.1257782  150.32504272 150.38484192 154.9283905  154.00172424
 154.36042786]",False
14,"[150.1257782  150.32504272 150.38484192 154.9283905  154.00172424
 154.36042786]",1,3.93573974609375,"[150.32504272 150.38484192 154.9283905  154.00172424 154.36042786
 149.98629761]",False
15,"[150.32504272 150.38484192 154.9283905  154.00172424 154.36042786
 149.98629761]",0,-48.12543273925781,"[150.38484192 154.9283905  154.00172424 154.36042786 149.98629761
 151.94917297]",False
16,"[150.38484192 154.9283905  154.00172424 154.36042786 149.98629761
 151.94917297]",0,23.55450439453125,"[154.9283905  154.00172424 154.36042786 149.98629761 151.94917297
 154.29069519]",False
17,"[154.9283905  154.00172424 154.36042786 149.98629761 151.94917297
 154.29069519]",2,30.419788818359375,"[154.00172424 154.36042786 149.98629761 151.94917297 154.29069519
 156.03436279]",False
18,"[154.00172424 154.36042786 149.98629761 151.94917297 154.29069519
 156.03436279]",2,20.92401123046875,"[154.36042786 149.98629761 151.94917297 154.29069519 156.03436279
 155.57601929]",False
19,"[154.36042786 149.98629761 151.94917297 154.29069519 156.03436279
 155.57601929]",0,-5.061778564453125,"[149.98629761 151.94917297 154.29069519 156.03436279 155.57601929
 158.83421326]",False
20,"[149.98629761 151.94917297 154.29069519 156.03436279 155.57601929
 158.83421326]",2,39.07832763671875,"[151.94917297 154.29069519 156.03436279 155.57601929 158.83421326
 157.16027832]",False
21,"[151.94917297 154.29069519 156.03436279 155.57601929 158.83421326
 157.16027832]",0,-18.433284301757812,"[154.29069519 156.03436279 155.57601929 158.83421326 157.16027832
 154.30064392]",False
22,"[154.29069519 156.03436279 155.57601929 158.83421326 157.16027832
 154.30064392]",1,-34.32561279296875,"[156.03436279 155.57601929 158.83421326 157.16027832 154.30064392
 153.84230042]",False
23,"[156.03436279 155.57601929 158.83421326 157.16027832 154.30064392
 153.84230042]",1,-5.5001220703125,"[155.57601929 158.83421326 157.16027832 154.30064392 153.84230042
 154.90844727]",False
24,"[155.57601929 158.83421326 157.16027832 154.30064392 153.84230042
 154.90844727]",2,12.78376220703125,"[158.83421326 157.16027832 154.30064392 153.84230042 154.90844727
 155.44648743]",False
25,"[158.83421326 157.16027832 154.30064392 153.84230042 154.90844727
 155.44648743]",1,5.908441772460938,"[157.16027832 154.30064392 153.84230042 154.90844727 155.44648743
 153.53343201]",False
26,"[157.16027832 154.30064392 153.84230042 154.90844727 155.44648743
 153.53343201]",2,-21.053609619140627,"[154.30064392 153.84230042 154.90844727 155.44648743 153.53343201
 155.71551514]",False
27,"[154.30064392 153.84230042 154.90844727 155.44648743 153.53343201
 155.71551514]",2,21.820831298828125,"[153.84230042 154.90844727 155.44648743 153.53343201 155.71551514
 157.68835449]",False
28,"[153.84230042 154.90844727 155.44648743 153.53343201 155.71551514
 157.68835449]",0,17.73555419921875,"[154.90844727 155.44648743 153.53343201 155.71551514 157.68835449
 158.55523682]",False
29,"[154.90844727 155.44648743 153.53343201 155.71551514 157.68835449
 158.55523682]",2,8.6488232421875,"[155.44648743 153.53343201 155.71551514 157.68835449 158.55523682
 155.43652344]",False
30,"[155.44648743 153.53343201 155.71551514 157.68835449 158.55523682
 155.43652344]",1,-28.07842041015625,"[153.53343201 155.71551514 157.68835449 158.55523682 155.43652344
 171.32891846]",False
31,"[153.53343201 155.71551514 157.68835449 158.55523682 155.43652344
 171.32891846]",1,143.03155517578125,"[155.71551514 157.68835449 158.55523682 155.43652344 171.32891846
 165.54986572]",False
32,"[155.71551514 157.68835449 158.55523682 155.43652344 171.32891846
 165.54986572]",1,-52.011474609375,"[157.68835449 158.55523682 155.43652344 171.32891846 165.54986572
 162.19204712]",False
33,"[157.68835449 158.55523682 155.43652344 171.32891846 165.54986572
 162.19204712]",2,-30.230367431640627,"[158.55523682 155.43652344 171.32891846 165.54986572 162.19204712
 163.2681427 ]",False
34,"[158.55523682 155.43652344 171.32891846 165.54986572 162.19204712
 163.2681427 ]",1,8.5987646484375,"[155.43652344 171.32891846 165.54986572 162.19204712 163.2681427
 166.01817322]",False
35,"[155.43652344 171.32891846 165.54986572 162.19204712 163.2681427
 166.01817322]",0,21.990244140625,"[171.32891846 165.54986572 162.19204712 163.2681427  166.01817322
 166.63592529]",False
36,"[171.32891846 165.54986572 162.19204712 163.2681427  166.01817322
 166.63592529]",0,5.5597686767578125,"[165.54986572 162.19204712 163.2681427  166.01817322 166.63592529
 167.49284363]",False
37,"[165.54986572 162.19204712 163.2681427  166.01817322 166.63592529
 167.49284363]",0,8.569183349609375,"[162.19204712 163.2681427  166.01817322 166.63592529 167.49284363
 170.63143921]",False
38,"[162.19204712 163.2681427  166.01817322 166.63592529 167.49284363
 170.63143921]",0,34.52455139160156,"[163.2681427  166.01817322 166.63592529 167.49284363 170.63143921
 168.76821899]",False
39,"[163.2681427  166.01817322 166.63592529 167.49284363 170.63143921
 168.76821899]",1,-22.368642578125,"[166.01817322 166.63592529 167.49284363 170.63143921 168.76821899
 169.34611511]",False
