,state,action,reward,next_state,done
0,"[494.72653198 510.7822876  504.55944824 482.26086426 498.37649536
 494.20797729]",2,0.0,"[510.7822876  504.55944824 482.26086426 498.37649536 494.20797729
 490.47824097]",False
1,"[510.7822876  504.55944824 482.26086426 498.37649536 494.20797729
 490.47824097]",0,-0.02,"[504.55944824 482.26086426 498.37649536 494.20797729 490.47824097
 482.76947021]",False
2,"[504.55944824 482.26086426 498.37649536 494.20797729 490.47824097
 482.76947021]",2,-7.728770751953125,"[482.26086426 498.37649536 494.20797729 490.47824097 482.76947021
 495.61410522]",False
3,"[482.26086426 498.37649536 494.20797729 490.47824097 482.76947021
 495.61410522]",2,0.0,"[498.37649536 494.20797729 490.47824097 482.76947021 495.61410522
 494.87609863]",False
4,"[498.37649536 494.20797729 490.47824097 482.76947021 495.61410522
 494.87609863]",2,0.0,"[494.20797729 490.47824097 482.76947021 495.61410522 494.87609863
 504.13061523]",False
5,"[494.20797729 490.47824097 482.76947021 495.61410522 494.87609863
 504.13061523]",2,0.0,"[490.47824097 482.76947021 495.61410522 494.87609863 504.13061523
 506.36447144]",False
6,"[490.47824097 482.76947021 495.61410522 494.87609863 504.13061523
 506.36447144]",1,-0.01,"[482.76947021 495.61410522 494.87609863 504.13061523 506.36447144
 508.17944336]",False
7,"[482.76947021 495.61410522 494.87609863 504.13061523 506.36447144
 508.17944336]",0,-0.01,"[495.61410522 494.87609863 504.13061523 506.36447144 508.17944336
 501.63748169]",False
8,"[495.61410522 494.87609863 504.13061523 506.36447144 508.17944336
 501.63748169]",0,-6.541961669921875,"[494.87609863 504.13061523 506.36447144 508.17944336 501.63748169
 494.52709961]",False
9,"[494.87609863 504.13061523 506.36447144 508.17944336 501.63748169
 494.52709961]",2,-14.24076416015625,"[504.13061523 506.36447144 508.17944336 501.63748169 494.52709961
 492.50265503]",False
10,"[504.13061523 506.36447144 508.17944336 501.63748169 494.52709961
 492.50265503]",2,-2.024444580078125,"[506.36447144 508.17944336 501.63748169 494.52709961 492.50265503
 484.24539185]",False
11,"[506.36447144 508.17944336 501.63748169 494.52709961 492.50265503
 484.24539185]",2,0.0,"[508.17944336 501.63748169 494.52709961 492.50265503 484.24539185
 489.99954224]",False
