,state,action,reward,next_state,done
0,"[399.84356689 406.85418701 403.95050049 402.25997925 412.95986938
 412.78091431]",1,0.0,"[406.85418701 403.95050049 402.25997925 412.95986938 412.78091431
 422.84436035]",False
1,"[406.85418701 403.95050049 402.25997925 412.95986938 412.78091431
 422.84436035]",1,0.0,"[403.95050049 402.25997925 412.95986938 412.78091431 422.84436035
 414.09353638]",False
2,"[403.95050049 402.25997925 412.95986938 412.78091431 422.84436035
 414.09353638]",0,-0.01,"[402.25997925 412.95986938 412.78091431 422.84436035 414.09353638
 414.98849487]",False
3,"[402.25997925 412.95986938 412.78091431 422.84436035 414.09353638
 414.98849487]",2,0.87495849609375,"[412.95986938 412.78091431 422.84436035 414.09353638 414.98849487
 419.05566406]",False
4,"[412.95986938 412.78091431 422.84436035 414.09353638 414.98849487
 419.05566406]",1,-0.01,"[412.78091431 422.84436035 414.09353638 414.98849487 419.05566406
 422.85430908]",False
5,"[412.78091431 422.84436035 414.09353638 414.98849487 419.05566406
 422.85430908]",0,-0.01,"[422.84436035 414.09353638 414.98849487 419.05566406 422.85430908
 426.97113037]",False
6,"[422.84436035 414.09353638 414.98849487 419.05566406 422.85430908
 426.97113037]",0,4.1168212890625,"[414.09353638 414.98849487 419.05566406 422.85430908 426.97113037
 426.34469604]",False
7,"[414.09353638 414.98849487 419.05566406 422.85430908 426.97113037
 426.34469604]",2,-1.27286865234375,"[414.98849487 419.05566406 422.85430908 426.97113037 426.34469604
 420.49752808]",False
8,"[414.98849487 419.05566406 422.85430908 426.97113037 426.34469604
 420.49752808]",2,-5.84716796875,"[419.05566406 422.85430908 426.97113037 426.34469604 420.49752808
 419.29431152]",False
9,"[419.05566406 422.85430908 426.97113037 426.34469604 420.49752808
 419.29431152]",0,-0.02,"[422.85430908 426.97113037 426.34469604 420.49752808 419.29431152
 419.07553101]",False
10,"[422.85430908 426.97113037 426.34469604 420.49752808 419.29431152
 419.07553101]",1,-0.228780517578125,"[426.97113037 426.34469604 420.49752808 419.29431152 419.07553101
 418.36947632]",False
11,"[426.97113037 426.34469604 420.49752808 419.29431152 419.07553101
 418.36947632]",1,-0.7060546875,"[426.34469604 420.49752808 419.29431152 419.07553101 418.36947632
 422.19796753]",False
12,"[426.34469604 420.49752808 419.29431152 419.07553101 418.36947632
 422.19796753]",2,3.8184912109375,"[420.49752808 419.29431152 419.07553101 418.36947632 422.19796753
 419.08547974]",False
13,"[420.49752808 419.29431152 419.07553101 418.36947632 422.19796753
 419.08547974]",2,0.0,"[419.29431152 419.07553101 418.36947632 422.19796753 419.08547974
 418.10098267]",False
14,"[419.29431152 419.07553101 418.36947632 422.19796753 419.08547974
 418.10098267]",1,-0.01,"[419.07553101 418.36947632 422.19796753 419.08547974 418.10098267
 415.54534912]",False
15,"[419.07553101 418.36947632 422.19796753 419.08547974 418.10098267
 415.54534912]",1,0.0,"[418.36947632 422.19796753 419.08547974 418.10098267 415.54534912
 423.14263916]",False
16,"[418.36947632 422.19796753 419.08547974 418.10098267 415.54534912
 423.14263916]",1,0.0,"[422.19796753 419.08547974 418.10098267 415.54534912 423.14263916
 422.21786499]",False
17,"[422.19796753 419.08547974 418.10098267 415.54534912 423.14263916
 422.21786499]",2,-0.01,"[419.08547974 418.10098267 415.54534912 423.14263916 422.21786499
 423.8984375 ]",False
18,"[419.08547974 418.10098267 415.54534912 423.14263916 422.21786499
 423.8984375 ]",1,-0.01,"[418.10098267 415.54534912 423.14263916 422.21786499 423.8984375
 420.89532471]",False
19,"[418.10098267 415.54534912 423.14263916 422.21786499 423.8984375
 420.89532471]",2,-0.01,"[415.54534912 423.14263916 422.21786499 423.8984375  420.89532471
 425.53921509]",False
20,"[415.54534912 423.14263916 422.21786499 423.8984375  420.89532471
 425.53921509]",1,-0.01,"[423.14263916 422.21786499 423.8984375  420.89532471 425.53921509
 419.54290771]",False
21,"[423.14263916 422.21786499 423.8984375  420.89532471 425.53921509
 419.54290771]",1,0.0,"[422.21786499 423.8984375  420.89532471 425.53921509 419.54290771
 411.32907104]",False
