,state,action,reward,next_state,done
0,[88.67901611 92.64707184 87.50730133 85.75370789 91.89126587 90.86650085],2,0.0,[92.64707184 87.50730133 85.75370789 91.89126587 90.86650085 87.92319489],False
1,[92.64707184 87.50730133 85.75370789 91.89126587 90.86650085 87.92319489],2,0.0,[87.50730133 85.75370789 91.89126587 90.86650085 87.92319489 87.81621552],False
2,[87.50730133 85.75370789 91.89126587 90.86650085 87.92319489 87.81621552],0,-0.02,[85.75370789 91.89126587 90.86650085 87.92319489 87.81621552 88.4340744 ],False
3,[85.75370789 91.89126587 90.86650085 87.92319489 87.81621552 88.4340744 ],0,0.61785888671875,[91.89126587 90.86650085 87.92319489 87.81621552 88.4340744  89.37686157],False
4,[91.89126587 90.86650085 87.92319489 87.81621552 88.4340744  89.37686157],0,1.8855743408203125,[90.86650085 87.92319489 87.81621552 88.4340744  89.37686157 90.35062408],False
5,[90.86650085 87.92319489 87.81621552 88.4340744  89.37686157 90.35062408],2,2.9012875366210937,[87.92319489 87.81621552 88.4340744  89.37686157 90.35062408 91.41336823],False
6,[87.92319489 87.81621552 88.4340744  89.37686157 90.35062408 91.41336823],0,2.10548828125,[87.81621552 88.4340744  89.37686157 90.35062408 91.41336823 94.26670074],False
7,[87.81621552 88.4340744  89.37686157 90.35062408 91.41336823 94.26670074],1,8.54999755859375,[88.4340744  89.37686157 90.35062408 91.41336823 94.26670074 94.97952271],False
8,[88.4340744  89.37686157 90.35062408 91.41336823 94.26670074 94.97952271],1,2.1384658813476562,[89.37686157 90.35062408 91.41336823 94.26670074 94.97952271 92.53910065],False
9,[89.37686157 90.35062408 91.41336823 94.26670074 94.97952271 92.53910065],2,-7.331266174316406,[90.35062408 91.41336823 94.26670074 94.97952271 92.53910065 90.22864532],False
10,[90.35062408 91.41336823 94.26670074 94.97952271 92.53910065 90.22864532],2,-4.62091064453125,[91.41336823 94.26670074 94.97952271 92.53910065 90.22864532 90.33462524],False
11,[91.41336823 94.26670074 94.97952271 92.53910065 90.22864532 90.33462524],0,0.08597991943359375,[94.26670074 94.97952271 92.53910065 90.22864532 90.33462524 90.3416214 ],False
12,[94.26670074 94.97952271 92.53910065 90.22864532 90.33462524 90.3416214 ],2,-0.0060076904296875,[94.97952271 92.53910065 90.22864532 90.33462524 90.3416214  89.43083954],False
13,[94.97952271 92.53910065 90.22864532 90.33462524 90.3416214  89.43083954],2,-0.9107818603515625,[92.53910065 90.22864532 90.33462524 90.3416214  89.43083954 88.94295502],False
14,[92.53910065 90.22864532 90.33462524 90.3416214  89.43083954 88.94295502],2,0.0,[90.22864532 90.33462524 90.3416214  89.43083954 88.94295502 85.88467407],False
15,[90.22864532 90.33462524 90.3416214  89.43083954 88.94295502 85.88467407],0,-0.02,[90.33462524 90.3416214  89.43083954 88.94295502 85.88467407 87.98718262],False
16,[90.33462524 90.3416214  89.43083954 88.94295502 85.88467407 87.98718262],1,2.092508544921875,[90.3416214  89.43083954 88.94295502 85.88467407 87.98718262 87.11238861],False
17,[90.3416214  89.43083954 88.94295502 85.88467407 87.98718262 87.11238861],2,-0.8847940063476563,[89.43083954 88.94295502 85.88467407 87.98718262 87.11238861 85.33380127],False
