,state,action,reward,next_state,done
0,"[176.53999329 178.6499939  175.33999634 177.77000427 177.53999329
 169.47999573]",2,-112.8599658203125,"[178.6499939  175.33999634 177.77000427 177.53999329 169.47999573
 162.5       ]",False
1,"[178.6499939  175.33999634 177.77000427 177.53999329 169.47999573
 162.5       ]",1,-90.74994445800782,"[175.33999634 177.77000427 177.53999329 169.47999573 162.5
 163.57000732]",False
2,"[175.33999634 177.77000427 177.53999329 169.47999573 162.5
 163.57000732]",0,13.90009521484375,"[177.77000427 177.53999329 169.47999573 162.5        163.57000732
 173.80000305]",False
3,"[177.77000427 177.53999329 169.47999573 162.5        163.57000732
 173.80000305]",1,143.20994018554688,"[177.53999329 169.47999573 162.5        163.57000732 173.80000305
 171.32000732]",False
4,"[177.53999329 169.47999573 162.5        163.57000732 173.80000305
 171.32000732]",2,-34.72994018554687,"[169.47999573 162.5        163.57000732 173.80000305 171.32000732
 175.66000366]",False
5,"[169.47999573 162.5        163.57000732 173.80000305 171.32000732
 175.66000366]",2,56.419952392578125,"[162.5        163.57000732 173.80000305 171.32000732 175.66000366
 172.82000732]",False
6,"[162.5        163.57000732 173.80000305 171.32000732 175.66000366
 172.82000732]",2,-34.0799560546875,"[163.57000732 173.80000305 171.32000732 175.66000366 172.82000732
 170.83000183]",False
7,"[163.57000732 173.80000305 171.32000732 175.66000366 172.82000732
 170.83000183]",2,-21.890060424804688,"[173.80000305 171.32000732 175.66000366 172.82000732 170.83000183
 172.63000488]",False
8,"[173.80000305 171.32000732 175.66000366 172.82000732 170.83000183
 172.63000488]",0,17.980030517578125,"[171.32000732 175.66000366 172.82000732 170.83000183 172.63000488
 177.66999817]",False
9,"[171.32000732 175.66000366 172.82000732 170.83000183 172.63000488
 177.66999817]",0,55.43992614746094,"[175.66000366 172.82000732 170.83000183 172.63000488 177.66999817
 179.83000183]",False
10,"[175.66000366 172.82000732 170.83000183 172.63000488 177.66999817
 179.83000183]",0,25.9200439453125,"[172.82000732 170.83000183 172.63000488 177.66999817 179.83000183
 175.78999329]",False
11,"[172.82000732 170.83000183 172.63000488 177.66999817 179.83000183
 175.78999329]",1,-52.53011108398437,"[170.83000183 172.63000488 177.66999817 179.83000183 175.78999329
 175.22000122]",False
12,"[170.83000183 172.63000488 177.66999817 179.83000183 175.78999329
 175.22000122]",1,-7.4098968505859375,"[172.63000488 177.66999817 179.83000183 175.78999329 175.22000122
 166.63000488]",False
