,state,action,reward,next_state,done
0,"[465.31466675 471.39938354 471.07321167 483.50808716 483.70581055
 482.37136841]",2,-4.023326416015625,"[471.39938354 471.07321167 483.50808716 483.70581055 482.37136841
 483.35983276]",False
1,"[471.39938354 471.07321167 483.50808716 483.70581055 482.37136841
 483.35983276]",2,1.9769287109375,"[471.07321167 483.50808716 483.70581055 482.37136841 483.35983276
 485.15884399]",False
2,"[471.07321167 483.50808716 483.70581055 482.37136841 483.35983276
 485.15884399]",2,1.79901123046875,"[483.50808716 483.70581055 482.37136841 483.35983276 485.15884399
 481.43231201]",False
3,"[483.50808716 483.70581055 482.37136841 483.35983276 485.15884399
 481.43231201]",0,-0.02,"[483.70581055 482.37136841 483.35983276 485.15884399 481.43231201
 487.63000488]",False
4,"[483.70581055 482.37136841 483.35983276 485.15884399 481.43231201
 487.63000488]",2,6.17769287109375,"[482.37136841 483.35983276 485.15884399 481.43231201 487.63000488
 488.5295105 ]",False
5,"[482.37136841 483.35983276 485.15884399 481.43231201 487.63000488
 488.5295105 ]",2,0.0,"[483.35983276 485.15884399 481.43231201 487.63000488 488.5295105
 486.01879883]",False
6,"[483.35983276 485.15884399 481.43231201 487.63000488 488.5295105
 486.01879883]",2,0.0,"[485.15884399 481.43231201 487.63000488 488.5295105  486.01879883
 484.41751099]",False
7,"[485.15884399 481.43231201 487.63000488 488.5295105  486.01879883
 484.41751099]",1,-0.01,"[481.43231201 487.63000488 488.5295105  486.01879883 484.41751099
 480.27578735]",False
8,"[481.43231201 487.63000488 488.5295105  486.01879883 484.41751099
 480.27578735]",1,0.0,"[487.63000488 488.5295105  486.01879883 484.41751099 480.27578735
 486.63165283]",False
9,"[487.63000488 488.5295105  486.01879883 484.41751099 480.27578735
 486.63165283]",2,-0.01,"[488.5295105  486.01879883 484.41751099 480.27578735 486.63165283
 487.4125061 ]",False
10,"[488.5295105  486.01879883 484.41751099 480.27578735 486.63165283
 487.4125061 ]",2,0.0,"[486.01879883 484.41751099 480.27578735 486.63165283 487.4125061
 488.99407959]",False
11,"[486.01879883 484.41751099 480.27578735 486.63165283 487.4125061
 488.99407959]",2,0.0,"[484.41751099 480.27578735 486.63165283 487.4125061  488.99407959
 484.05175781]",False
12,"[484.41751099 480.27578735 486.63165283 487.4125061  488.99407959
 484.05175781]",2,0.0,"[480.27578735 486.63165283 487.4125061  488.99407959 484.05175781
 452.85577393]",False
13,"[480.27578735 486.63165283 487.4125061  488.99407959 484.05175781
 452.85577393]",0,-0.02,"[486.63165283 487.4125061  488.99407959 484.05175781 452.85577393
 454.43728638]",False
14,"[486.63165283 487.4125061  488.99407959 484.05175781 452.85577393
 454.43728638]",2,1.561512451171875,"[487.4125061  488.99407959 484.05175781 452.85577393 454.43728638
 450.12759399]",False
15,"[487.4125061  488.99407959 484.05175781 452.85577393 454.43728638
 450.12759399]",2,0.0,"[488.99407959 484.05175781 452.85577393 454.43728638 450.12759399
 450.48345947]",False
16,"[488.99407959 484.05175781 452.85577393 454.43728638 450.12759399
 450.48345947]",2,0.0,"[484.05175781 452.85577393 454.43728638 450.12759399 450.48345947
 450.740448  ]",False
17,"[484.05175781 452.85577393 454.43728638 450.12759399 450.48345947
 450.740448  ]",0,-0.02,"[452.85577393 454.43728638 450.12759399 450.48345947 450.740448
 454.41757202]",False
18,"[452.85577393 454.43728638 450.12759399 450.48345947 450.740448
 454.41757202]",1,3.6671240234375,"[454.43728638 450.12759399 450.48345947 450.740448   454.41757202
 444.85906982]",False
19,"[454.43728638 450.12759399 450.48345947 450.740448   454.41757202
 444.85906982]",2,-9.568502197265625,"[450.12759399 450.48345947 450.740448   454.41757202 444.85906982
 436.62515259]",False
20,"[450.12759399 450.48345947 450.740448   454.41757202 444.85906982
 436.62515259]",2,0.0,"[450.48345947 450.740448   454.41757202 444.85906982 436.62515259
 434.13424683]",False
21,"[450.48345947 450.740448   454.41757202 444.85906982 436.62515259
 434.13424683]",0,-0.02,"[450.740448   454.41757202 444.85906982 436.62515259 434.13424683
 440.49008179]",False
